Event,Type
Cross Country Skiing Women's 3 x 5 kilometres Relay,Team
Judo Men's Open Class,Single
Rowing Women's Quadruple Sculls,Team
"Gymnastics Men's Team All-Around, Swedish System",Team
Nordic Combined Men's Sprint,Single
Athletics Women's Pentathlon,Single
"Art Competitions Mixed Painting, Unknown Event",Single
"Cycling Men's Team Pursuit, 4,000 metres",Team
Weightlifting Women's Middleweight,Single
"Swimming Men's 1,500 metres Freestyle",Single
"Wrestling Women's Light-Heavyweight, Freestyle",Team
Swimming Women's 100 metres Freestyle,Single
"Equestrianism Men's Jumping, Individual",Single
"Equestrianism Men's Jumping, Team",Team
"Equestrianism Men's Three-Day Event, Individual",Single
"Equestrianism Men's Three-Day Event, Team",Team
Alpine Skiing Women's Combined,Single
Athletics Women's High Jump,Single
"Ski Jumping Men's Normal Hill, Individual",Single
"Canoeing Women's Kayak Fours, 500 metres",Team
Ice Hockey Women's Ice Hockey,Team
Sailing Men's One Person Dinghy,Single
Trampolining Women's Individual,Single
Curling Men's Curling,Team
Art Competitions Mixed Literature,Single
Judo Men's Middleweight,Single
Biathlon Women's 15 kilometres,Single
Biathlon Women's 3 x 7.5 kilometres Relay,Team
Biathlon Women's 4 x 7.5 kilometres Relay,Team
Judo Men's Half-Lightweight,Single
"Fencing Women's Foil, Team",Team
Swimming Women's 200 metres Butterfly,Single
Swimming Women's 400 metres Individual Medley,Single
Golf Men's Individual,Single
Athletics Men's Standing High Jump,Single
Athletics Men's Standing Long Jump,Single
Athletics Men's 20 kilometres Walk,Single
Swimming Men's 220 yard Freestyle,Single
Swimming Men's 880 yard Freestyle,Single
Swimming Men's One Mile Freestyle,Single
Swimming Men's 4 x 50 Yard Freestyle Relay,Team
Swimming Men's Plunge For Distance,Single
"Shooting Men's Free Rifle, Three Positions, 300 metres",Single
"Shooting Men's Military Rifle, Three Positions, 300 metres",Single
"Shooting Men's Military Rifle, Any Position, 600 metres",Single
"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Team
"Shooting Men's Military Rifle, Prone, 300 metres",Single
Judo Men's Half-Heavyweight,Single
Archery Women's Team,Team
Athletics Men's 50 kilometres Walk,Single
Rowing Women's Double Sculls,Team
Sailing Mixed 6 metres,Single
Boxing Men's Light-Heavyweight,Single
Boxing Women's Flyweight,Single
